IE_SORT;IE_NAME;IE_DETAIL_PICTURE;IE_DETAIL_PICTURE;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;MONOCOLOR blanco (10*30);/images/kitchen/absolut/blanco_10x30.jpg;BLANCO 10X30;1112;1112;Облицовочная;58302951;1,02;14345;100;300;19,8;EUR
501;TEA 2 Composicion (20*30), 2 плитки;/images/kitchen/absolut/composicion_tea_02_20x30.jpg;COMPOSICION TEA 02 20X30;1112;1112;Декор;58304554;15;860;200;300;12,9;EUR
502;TEA 2 GLASS (10*30);/images/kitchen/absolut/decor_tea_02_glass_10x30.jpg;DECOR TEA 02 GLASS 10X30;1112;1112;Декор;58306005;30;430;100;300;4,47;EUR
503;TEA 2A (10*30);/images/kitchen/absolut/decor_tea_02_a_10x30.jpg;DECOR TEA 02 A 10X30;1112;1112;Декор;58306006;30;430;100;300;5,5;EUR
504;TEA 2B (10*30);/images/kitchen/absolut/decor_tea_02_b_10x30.jpg;DECOR TEA 02 B 10X30;1112;1112;Декор;58306007;30;430;100;300;5,5;EUR
505;TEA 2C (10*30);/images/kitchen/absolut/decor_tea_02_c_10x30.jpg;DECOR TEA 02 C 10X30;1112;1112;Декор;58306008;30;430;100;300;5,5;EUR
500;MONOCOLOR blanco (10*30);/images/kitchen/absolut/blanco_10x30.jpg;BLANCO 10X30;1113;1113;Облицовочная;58302951;1,02;14345;100;300;19,8;EUR
501;MONOCOLOR perla (10*30);/images/kitchen/absolut/perla_10x30.jpg;PERLA 10X30;1113;1113;Облицовочная;70702696;1,02;14345;100;300;20,6;EUR
502;MONOCOLOR marengo (10*30);/images/kitchen/absolut/marengo_10x30.jpg;MARENGO 10X30;1113;1113;Облицовочная;58302960;1,02;14345;100;300;20,6;EUR
503;TEA 3 WHITE Composicion (30*30), 3 плитки;/images/kitchen/absolut/composicion_tea_03_white_30x30.jpg;COMPOSICION TEA 03 WHITE 30X30;1113;1113;Декор;68471920;15;1290;300;300;18,65;EUR
504;TEA 3A WHITE (10*30);/images/kitchen/absolut/decor_tea_3a__white__10x30.jpg;DECOR TEA 3A  WHITE  10X30;1113;1113;Декор;68471127;22;430;100;300;5,5;EUR
505;TEA 3B WHITE (10*30);/images/kitchen/absolut/decor_tea__3b__white__10x30.jpg;DECOR TEA  3B  WHITE  10X30;1113;1113;Декор;68471128;22;430;100;300;5,5;EUR
500;MONOCOLOR blanco (10*30);/images/kitchen/absolut/blanco_10x30.jpg;BLANCO 10X30;1115;1115;Облицовочная;58302951;1,02;14345;100;300;19,8;EUR
501;WINE 2 Composicion (30*30), 3 плитки;/images/kitchen/absolut/composicion_wine_02_30x30.jpg;COMPOSICION WINE 02 30X30;1115;1115;Декор;58304206;10;1290;300;300;17;EUR
502;WINE 2A (10*30);/images/kitchen/absolut/decor_wine_02_a_10x30.jpg;DECOR WINE 02 A 10X30;1115;1115;Декор;58305997;30;430;100;300;4,81;EUR
503;WINE 2B (10*30);/images/kitchen/absolut/decor_wine_02__b_10x30.jpg;DECOR WINE 02  B 10X30;1115;1115;Декор;58306550;30;430;100;300;4,81;EUR
